,Song ,Artist(s) ,Writer(s) ,Album ,Year ,Ref. 
0,"""The 1"" ",Taylor Swift ,Taylor SwiftAaron Dessner ,Folklore ,2020 ,[14] 
1,"""22"" ",Taylor Swift ,Taylor Swift Max Martin Shellback ,Red ,2012 ,[8] 
2,"""Afterglow"" ",Taylor Swift ,Taylor SwiftLouis BellFrank Dukes ,Lover ,2019 ,[16] 
3,"""All Too Well"" ",Taylor Swift ,Taylor SwiftLiz Rose ,Red ,2012 ,[8] 
4,"""All You Had to Do Was Stay"" ",Taylor Swift ,Taylor SwiftMax Martin ,1989 ,2014 ,[11] 
5,"""American Girl"" (cover) ",Taylor Swift ,Tom Petty ,None[a] ,2009 ,[17] 
6,"""The Archer"" ",Taylor Swift ,Taylor Swift Jack Antonoff ,Lover ,2019 ,[18] 
7,"""August"" ",Taylor Swift ,Taylor SwiftJack Antonoff ,Folklore ,2020 ,[14] 
8," ""Babe"" ",Sugarland featuring Taylor Swift ,Taylor Swift Patrick Monahan ,Bigger ,2018 ,[19] 
9,"""Back to December"" ",Taylor Swift ,Taylor Swift ,Speak Now ,2010 ,[6] 
10,"""Bad Blood"" (album version) ",Taylor Swift ,Taylor SwiftMax MartinShellback ,1989 ,2014 ,[11] 
11,"""Bad Blood"" (remixed single version) ",Taylor Swift featuring Kendrick Lamar ,Taylor SwiftMax MartinShellbackKendrick Lamar ,Non-album single[b] ,2015 ,[21] 
12,"""Beautiful Eyes"" ",Taylor Swift ,Taylor Swift ,Beautiful Eyes ,2008 ,[3] 
13,"""Beautiful Ghosts"" ",Taylor Swift ,Taylor SwiftAndrew Lloyd Webber ,Cats: Highlights from the Motion Picture Soundtrack ,2019 ,[22] 
14,"""Begin Again"" ",Taylor Swift ,Taylor Swift ,Red ,2012 ,[8] 
15,"""The Best Day"" ",Taylor Swift ,Taylor Swift ,Fearless ,2008 ,[23] 
16,"""Bette Davis Eyes"" (live cover) ",Taylor Swift ,Donna Weiss Jackie DeShannon ,Speak Now World Tour – Live ,2011 ,[24] 
